title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,98 ratings,In Stock
"Wireless Controller Dual Vibration Game Joystick Controller for Ps4 Controller/Slim/Pro,Compatible with PS4 Console",,4.0 out of 5 stars,"2,152 ratings",In Stock
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for Playstation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"38,784 ratings",In Stock
$250 PlayStation Store Gift Card [Digital Code],,4.7 out of 5 stars,"250,468 ratings",Available now
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.3 out of 5 stars,87 ratings,In Stock
"Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Galaxy)",,4.2 out of 5 stars,"2,656 ratings",In Stock
"KDYGPDCT 2 Pack Wireless Controller for PS4/Pro/PS3,Wireless Remote Gamepad with 1000mAh Battery | Double Shock | Audio | 6-Axis Motion Sensor | Share Button (Red + Blue)",,4.1 out of 5 stars,324 ratings,In Stock
"LRSKKD Wireless Controller Compatible with Ps4/Ps4 Slim/Ps4 Pro, Wireless Gams Controller with Dual Vibration, 6-Axis Motion, Audio Function",,4.7 out of 5 stars,97 ratings,In Stock
"PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 & PC Windows - Black & White",,4.2 out of 5 stars,67 ratings,In Stock
Grand Theft Auto V: Premium Edition (PS4),,4.7 out of 5 stars,"12,205 ratings",In Stock
PowerA USB Charging Cable for PlayStation 4,,4.6 out of 5 stars,"29,783 ratings",In Stock
Madden NFL 25 - PlayStation 4,,Previous page,,"This item will be released on August 16, 2024."
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,513 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,728 ratings",Not Available
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.3 out of 5 stars,"1,447 ratings",Only 1 left in stock - order soon.
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.2 out of 5 stars,84 ratings,Not Available
"10Ft AC Power Supply Cord Fit for Sony PS5 / PS4 / PS4 Slim / PS3 Slim / PS3 Super Slim, Sony Playstation 5 / Playstation 4 Slim/Playstation 3 Slim Power Supply Cable Accessories Replacement",,4.8 out of 5 stars,5 ratings,In Stock
"Wireless Gaming Headset for PS4,PS5,PC and Switch - 7.1 Surround Sound Vibration Wireless Headphones for Playstation 5 with Detachable Microphone, 3.5mm Wired for Xbox, Xbox Series X/S, Black",,3.8 out of 5 stars,177 ratings,In Stock
